chapter,question,options,correct-answer,note
1,"With a Class C driver's license, a person may drive","""a:a light rail train,b:car or van or pickup truck,c:semi truck""","""b""","""With a Basic Class C License, a person may drive: a 2-axle vehicle with a GVWR of 26,000 pounds or less, a 3-axle vehicle weighing 6,000 pounds gross or less, a motorized scooter, any housecar 40 feet or less."
1,"With a Class C drivers license, a person may drive","""a:Any three axle vehicle regardless of the weight,b:A vehicle pulling 2 trailers,c:A 3 axle vehicle if the gross vehicle weight is less than 6000 lbs""","""c""","""With a Basic Class C License, a person may drive: a 2-axle vehicle with a GVWR of 26,000 pounds or less, a 3-axle vehicle weighing 6,000 pounds gross or less, a motorized scooter, any housecar 40 feet or less."
2,You are under 18 years of age and have had your license for eight months. You may drive:,"""a:At any time.,b:Between 5 a.m. and 11 p.m.,c:Between 7 a.m. and 8 p.m.""","""b""","""According to page 4 of the DMV handbook, 'When you are under 18 years old, your driver's license will have the word provisional. As a provisional driver, you cannot drive:  - Between 11 p.m. and 5 a.m. during the first 12 months you have your license.'"""
5,Which of the following is illegal while driving?,"""a:Wearing a headset or ear plugs that covers both ears.,b:Wearing a headset or ear plugs that covers one ear.,c:Using cruise control on residential streets.""","""a""","""It is illegal to wear a headset or earplugs in both ears while driving. 'It is illegal to wear a headset or earplugs in both ears while driving.' (Page 9)"""
5,"If you become sleepy while driving, it is best to","""a:Increase your speed to get away from other vehicles,b:Move over to the right lane and continue driving,c:Drive to a safe place stop and rest""","""c""","""It is stated on page 9 that 'Fatigue and Drowsiness - Can affect your vision and increase reaction time to hazards.' The best solution is to 'Drive to a safe place, stop and rest.'"""
5,"Sleeping pills, tranquilizers, pain medicine, or cold or allergy medications","""a:May impair your driving,b:May increase the bad effects of alcohol on your driving,c:Both of the above""","""c""","""The DMV handbook states that 'Prescription and over-the-counter medications can make you an unsafe driver.'  It also states that 'Some medicines can make you sleepy.'  Therefore, the answer is 'c', as the medications can impair driving and increase the negative effects of alcohol."""
5,You should not drive,"""a:After you have taken any drink drug or medication which changes how you think or act or causes you to be less careful,b:If you are not alert,c:Both of the above""","""c""","""The DMV handbook states, 'It is illegal to drive while under the influence of alcohol or any drug that affects your ability to drive safely.'  It also mentions, 'You must be alert to quickly decide the correct course of action in any type of traffic situation, including unexpected ones.'"""
5,Which of these statements about drugs and traffic is true?,"""a:Even over-the-counter drugs can impair your driving,b:Any prescription drug is safe to use if you don’t feel drowsy,c:Only illegal drugs can impair your driving""","""a""","""The DMV handbook states that 'Prescription and over-the-counter medications can make you an unsafe driver. Some medicines can make you sleepy. It is your responsibility to know the effects of the medications you take.'"""
5,How can you prevent fatigue on a long trip?,"""a:Get enough sleep,b:Plan to drive long trips with a companion,c:All of the above""","""c""","""Page 9 of the DMV handbook states 'Fatigue and Drowsiness - Can affect your vision and increase reaction time to hazards.'"""
5,Who is most at risk?,"""a:Drivers who are fatigued,b:Drivers who are driving on long boring roads,c:All of the above""","""c""","""Page 9 of the DMV handbook states 'Fatigue and Drowsiness - Can affect your vision and increase reaction time to hazards.'"""
5,All the following practices are dangerous to do while driving. Which of these is also illegal?,"""a:Listening to music through headphones that cover both ears,b:Adjusting your outside mirror,c:Transporting an unrestrained animal inside your vehicle,d:None of the above""","""a""","“The DMV handbook states, 'It is illegal to wear a headset or earplugs in both ears while driving.'"""
5,All of the following are dangerous while driving. Which is also illegal,"""a:Having one or more interior lights on,b:Wearing a headset that covers both ears,c:Using cruise control on residential streets""","""b""","""The DMV handbook states on page 10, 'It is illegal to wear a headset or earplugs in both ears while driving.'"""
5,"When parking next to a curb, you should use your turn signals","""a:When pulling next to or away from the curb,b:When pulling next to but not away from the curb,c:Only when pulling away from the curb""","""a""","""The DMV handbook states, 'You should signal... Before pulling next to the curb or away from the curb.'"""
5,You should use turn signals to indicate your intention with sufficient time to allow other drivers to see the signal,"""a:Before you move,b:After you move,c:If it’s raining""","""a""","""The DMV handbook states, 'Always signal when you turn, change lanes, slow down, or stop.'"""
